TSNR,MASTIT,MASNR,MASLFDNR,MASDAT,MASTYP,MASEBENE,MASKAT,MASART,ZIELGRUP,ZIELGRUP01,ZIELGRUP02,ZIELGRUP03,ZIELGRUP04,ZIELGRUP05,ZIELGRUP06,ZIELGRUP07,ZIELGRUP08,ZIELGRUP09,ZIELGRUP10,ZIELGRUP11,ZIELPER01,ZIELPER02,ZIELPER03,ZIELPER04,ZIELPER05,ZIELPER06,ZIELPER07,ZIELPER08,ZIELPER09,AKTIV01,AKTIV02,AKTIV03,AKTIV04,AKTIV05,AKTIV06,AKTIV07,AKTIV08,AKTIV09,AKTIV10,AKTIV11,AKTIV12,ORGANISA,ORGANI01,ORGANI02,ZEIT01,ZEIT02,ZEIT03,ZEIT04,PERSONEN1,PERSONEN2
181,ghnuynytnd,17233,395,23.06.2024,4,3,5,2,0,False,False,False,False,False,True,True,False,True,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,False,False,True,True,False,True,True,0,False,False,18,469,283,422,1634,5475
181,wofhxjmppt,96948,527,09.07.2024,1,3,9,1,5,False,False,True,True,True,False,True,False,True,True,False,False,False,True,True,True,False,True,False,False,False,False,True,False,False,False,True,True,True,True,False,True,0,False,False,938,827,686,101,6557,6850
181,pdjrrdviut,50497,891,18.05.2023,0,2,9,1,3,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True,False,True,True,False,False,False,True,False,True,True,True,True,True,False,False,True,True,3,True,True,835,230,506,903,7567,515
181,ddjxqywhsm,54131,191,17.10.2023,4,0,1,6,6,True,False,False,True,False,True,True,False,True,False,False,True,True,False,True,False,False,False,False,False,False,True,False,True,True,False,False,True,True,True,False,True,0,True,False,994,691,65,565,931,8278
181,neoxnpjoni,72811,173,27.06.2024,4,0,1,7,6,False,True,True,True,False,True,False,False,True,False,False,False,False,True,True,False,True,True,True,False,True,True,True,False,False,False,False,True,True,False,False,True,2,True,True,685,563,438,603,3368,9336
181,jgrsvfplea,2588,10,02.12.2023,3,0,2,0,7,False,True,True,False,False,True,True,False,True,True,False,False,False,True,True,True,True,False,False,True,False,True,False,True,True,False,False,True,True,True,True,True,3,True,False,254,736,700,932,7468,336
181,xcrjpdmzqm,21403,501,09.08.2024,0,0,1,1,6,False,True,False,False,True,True,True,False,True,True,False,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,False,True,2,False,True,883,179,224,610,7642,2997
181,xakzcgqvmx,47920,92,22.04.2023,1,4,5,0,2,False,True,False,True,True,False,True,False,True,False,True,True,False,True,True,False,False,True,False,True,True,False,True,True,False,False,True,False,False,True,True,False,1,False,False,184,60,207,690,2100,945
181,noygdsbppf,46266,445,06.09.2023,0,1,1,0,8,False,True,False,False,False,True,True,False,False,True,True,False,False,True,True,False,True,True,False,True,False,True,True,False,False,True,False,False,False,True,False,True,1,False,False,43,327,232,248,1009,6267
181,gcjhijytkj,37765,912,04.02.2023,1,0,0,4,5,True,True,False,True,False,True,False,True,False,True,True,False,True,True,False,True,False,True,True,True,True,False,True,True,True,False,False,True,False,False,True,False,0,False,False,188,678,637,665,8011,3716
181,urtsdafrav,71198,261,07.04.2023,3,0,5,6,3,True,True,True,False,False,False,True,False,True,False,False,False,True,False,False,True,True,False,False,True,False,True,True,False,True,True,True,True,False,False,False,False,2,True,True,681,921,78,221,374,9724
181,fydseiqcfx,69090,975,29.09.2024,3,3,2,2,3,False,False,False,False,True,True,True,True,False,False,True,True,True,True,True,True,True,False,False,True,True,False,True,False,False,True,False,True,False,True,True,True,1,False,False,511,57,748,986,7681,8264
181,evdiyynajz,51767,941,17.09.2024,2,0,6,6,8,False,False,False,True,True,False,False,False,True,True,False,False,True,True,False,False,False,True,False,False,False,True,True,True,True,True,False,False,True,True,True,False,2,False,True,610,908,729,283,1298,9277
181,cqcofotjsj,17445,883,13.06.2023,4,0,2,5,8,True,True,False,False,True,False,False,True,True,True,False,True,True,True,True,False,True,True,False,False,False,False,True,True,False,True,False,True,False,True,True,True,3,True,False,415,224,94,475,7687,9479
181,izukcfeqrn,94012,562,31.03.2024,2,4,2,0,2,False,True,False,True,True,False,True,False,True,False,True,False,False,True,True,True,False,False,True,True,False,False,True,False,True,True,True,True,True,True,False,True,0,False,False,975,211,456,19,933,6671
181,qvxmbvuxoy,5366,442,14.09.2024,1,3,6,2,6,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,True,False,False,True,True,0,True,False,220,847,825,143,7921,5160
181,wzvxbizaln,8868,33,27.11.2024,0,0,8,6,4,True,False,True,False,True,True,True,True,True,False,False,True,False,False,True,True,True,True,False,False,True,True,False,False,False,False,False,False,True,False,True,False,0,True,True,732,446,925,62,5777,7337
181,gnhqoiyfch,50049,151,11.11.2023,4,1,9,0,0,False,True,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,True,True,True,True,False,False,True,False,1,False,True,19,616,123,354,6446,559
181,bszmvwduvq,25569,396,27.11.2024,1,2,7,1,8,False,False,False,False,True,True,False,True,True,False,True,True,True,True,False,False,True,False,True,True,False,False,False,True,True,True,True,False,False,False,True,False,1,True,True,511,707,445,599,6507,1351
181,nybsdfxfqf,14492,674,14.01.2024,3,3,6,0,4,False,False,True,True,True,False,True,True,True,True,False,True,True,True,False,False,True,False,False,True,True,True,False,False,True,True,False,False,False,False,False,True,1,False,False,886,747,557,278,2203,1157
181,ygxtjmhqaf,17713,758,28.03.2024,1,2,7,4,4,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True,True,True,False,True,False,1,False,True,345,871,576,288,6933,7169
181,nmauxdzobn,59571,116,14.11.2024,0,0,5,5,7,True,True,True,False,False,True,True,True,True,False,False,True,True,False,True,True,True,True,True,False,False,True,False,True,False,True,True,True,False,False,True,True,1,False,False,751,448,151,188,6200,4837
181,ujsgpltfwz,63847,238,21.06.2024,4,1,4,1,0,True,True,False,True,True,True,True,True,True,False,True,True,True,False,True,False,False,True,True,True,False,False,True,True,True,False,True,True,False,False,True,False,0,False,False,694,451,507,806,6510,9349
181,xybvxjcyol,35953,479,03.01.2024,1,2,7,7,0,True,False,True,True,False,False,False,True,False,False,False,False,False,True,True,False,True,False,True,False,True,True,True,True,False,True,False,False,False,True,False,True,2,False,False,561,964,182,280,4172,3570
181,axexhqyyfv,6691,131,28.08.2023,4,0,0,1,2,True,False,False,False,False,True,False,True,True,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,False,True,2,False,False,295,949,49,335,6257,899
181,xrcnywddxb,14035,672,22.03.2024,3,2,6,3,0,True,False,True,True,False,True,True,True,False,True,False,True,False,True,False,False,True,False,True,True,True,True,False,True,False,True,True,True,True,False,True,True,2,True,False,518,453,939,984,9759,1570
181,govrpegkqr,81680,433,07.05.2024,0,2,3,6,2,True,False,False,False,False,True,True,False,False,True,False,True,False,True,True,True,True,False,False,True,False,True,False,False,False,True,True,False,True,False,True,False,2,False,False,710,566,564,656,7607,7935
181,sutorkkbro,36590,434,30.01.2023,4,4,8,5,3,True,True,False,False,False,False,True,False,False,True,True,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,2,True,True,342,601,14,444,4048,303
181,xhdmianvnp,31479,664,12.03.2024,4,4,0,2,5,False,False,True,True,False,False,True,True,True,False,False,False,False,True,True,True,True,True,True,False,True,False,False,False,False,False,True,False,True,True,False,False,3,True,False,801,124,13,732,8071,5751
181,cqactlyywn,99512,68,12.09.2023,3,2,1,0,1,False,False,True,False,True,False,True,True,True,True,True,True,True,False,True,False,False,True,False,False,False,False,True,False,True,True,False,False,False,False,False,True,3,True,True,322,55,51,885,2066,7815
181,hiobmawhre,30194,666,26.07.2023,4,3,0,3,5,False,True,True,True,False,False,False,True,True,True,True,True,True,True,False,True,False,False,False,True,False,True,False,True,True,False,False,False,False,False,True,False,0,False,True,572,300,480,385,515,800
181,rtsbnhnwoh,77094,179,30.01.2024,4,4,8,1,8,True,True,True,True,True,True,True,True,False,False,True,False,True,True,True,True,False,False,True,True,False,True,False,True,False,True,True,True,False,False,False,True,3,False,False,365,641,752,998,2273,3585
181,kwxfskknec,63956,235,26.04.2024,2,0,8,6,4,True,False,False,True,False,False,False,True,True,False,True,True,True,True,True,False,False,True,True,False,False,True,False,True,False,False,False,True,True,True,False,True,2,True,False,71,228,935,199,7332,9573
181,mridqpemjx,14889,486,23.08.2023,3,0,6,5,8,True,False,True,True,False,False,False,True,False,True,False,False,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,True,True,True,3,True,True,42,386,831,222,2881,107
181,xksgntnnbs,3364,840,04.06.2024,2,4,6,6,8,False,True,False,True,True,False,False,False,False,True,True,False,True,True,False,True,False,True,True,False,False,False,False,True,False,True,True,True,True,True,False,True,0,True,False,662,874,828,297,6199,478
181,ocvlamchdx,16950,947,13.12.2023,1,1,3,7,7,False,True,False,True,True,True,False,True,True,False,True,True,True,True,False,True,False,False,False,False,False,True,True,False,False,True,True,False,True,True,False,True,2,True,True,135,480,925,342,1449,4166
